Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (ﾀ),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
01/01/2013,"8 Grange Manor, Tulsk, Castlerea",,Roscommon,"ﾀ88,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"1 Farnham Road, Cavan",,Cavan,"ﾀ122,500.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"11 Whites Gate, White's Road, Castleknock",,Dublin,"ﾀ700,352.42",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
02/01/2013,"12 Kilmore Heights, Kilkelly",,Mayo,"ﾀ57,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"13 Crosforge, Saggart, Co Dublin",,Dublin,"ﾀ180,616.74",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
02/01/2013,"19 Marian Avenue, Ennis",,Clare,"ﾀ85,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"2 Barnwell Terrace, Hansfield, Dublin 15",,Dublin,"ﾀ147,974.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
02/01/2013,"3 Crescent Avenue, Limerick",,Limerick,"ﾀ240,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"3 Rascill, Poles, Cavan",,Cavan,"ﾀ185,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"3 Stocking Wood Green, Stocking Avenue, Rathfarnham",,Dublin,"ﾀ280,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
02/01/2013,"42 Berryfields, Ferns",,Wexford,"ﾀ130,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"56 Bargy Road, East Wall",Dublin 3,Dublin,"ﾀ160,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"59 Corr Castle, Howth Road, Sutton",,Dublin,"ﾀ310,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"6 Harrisons cove, skerries, county dublin",,Dublin,"ﾀ210,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"69 Sarsfield Park, Lucan",,Dublin,"ﾀ135,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"74 Caheranne Village, Ballyvelly, Tralee",,Kerry,"ﾀ155,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"78 Marlton Park, Marlton Road, Wicklow Town",,Wicklow,"ﾀ185,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"8 Pococke Lower, Johnswell Road, Kilkenny",,Kilkenny,"ﾀ113,500.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"90 LAnsdowne Park, Ennis Road, Limerick",,Limerick,"ﾀ155,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"91 sillogue gardens, ballymun, dublin",Dublin 11,Dublin,"ﾀ96,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"Apartment 24, Vicarschoral, Tuam",,Galway,"ﾀ65,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
02/01/2013,"Apt 18, Chapelhill, Chapelizod",Dublin 20,Dublin,"ﾀ175,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
02/01/2013,"Apt No. 3 College Gate, Newcastle",,Galway,"ﾀ142,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"Ballygilgan, Carney, Sligo",,Sligo,"ﾀ385,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"Church Brae, Greencastle",,Donegal,"ﾀ10,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"Dysert, Dromagh, Dromtarriffe",,Cork,"ﾀ60,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"Gortnalamph, Mohill",,Leitrim,"ﾀ40,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"Gurteen, Inch, Gorey",,Wexford,"ﾀ42,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"Heatherview, Blacktrench, Naas",,Kildare,"ﾀ245,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"kilquane, headford, killarney",,Kerry,"ﾀ150,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
02/01/2013,"Marion House, Lower Main Street, Letterkenny",,Donegal,"ﾀ62,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"Mataugh, Glenaniff, Rossinver",,Leitrim,"ﾀ34,100.00",Yes,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"Monavanshere, Donoughmore",,Cork,"ﾀ118,000.00",No,No,Second-Hand Dwelling house /Apartment,
